transaction_id,policy_number,line_of_business_code,accounting_date,transaction_type_code,effective_date,net_written_premium_amt
9001,POL-OR-1001,WC,2025-01-01,NEW,2025-01-01,58000.0
9002,POL-OR-1001,WC,2025-06-15,RETRO,,-1195.80044
9003,POL-OR-1002,GL,2025-01-11,NEW,2025-01-11,95000.0
9004,POL-OR-1002,GL,2025-06-15,RETRO,,-6166.4580000000005
9005,POL-OR-1003,CA,2025-01-21,NEW,2025-01-21,95000.0
9006,POL-OR-1003,CA,2025-06-15,RETRO,,-8485.821320000001
9007,POL-OR-1004,CA,2025-01-31,NEW,2025-01-31,32000.0
9008,POL-OR-1004,CA,2025-06-15,RETRO,,4410.377
9009,POL-OR-1005,WC,2025-02-10,NEW,2025-02-10,58000.0
9010,POL-OR-1005,WC,2025-06-15,RETRO,,-1610.7526400000002
9011,POL-OR-1006,WC,2025-02-20,NEW,2025-02-20,95000.0
9012,POL-OR-1006,WC,2025-06-15,RETRO,,5563.279
9013,POL-OR-1007,WC,2025-03-02,NEW,2025-03-02,58000.0
9014,POL-OR-1007,WC,2025-06-15,RETRO,,9776.917360000001
9015,POL-OR-1008,GL,2025-03-12,NEW,2025-03-12,58000.0
9016,POL-OR-1008,GL,2025-06-15,RETRO,,-6665.38752
9017,POL-OR-1009,CA,2025-03-22,NEW,2025-03-22,58000.0
9018,POL-OR-1009,CA,2025-06-15,RETRO,,-10415.953
9019,POL-OR-1010,CA,2025-04-01,NEW,2025-04-01,15000.0
9020,POL-OR-1010,CA,2025-06-15,RETRO,,3180.41612
9021,POL-OR-1011,WC,2025-04-11,NEW,2025-04-11,32000.0
9022,POL-OR-1011,WC,2025-06-15,RETRO,,-849.8167599999999
9023,POL-OR-1012,GL,2025-04-21,NEW,2025-04-21,32000.0
9024,POL-OR-1012,GL,2025-06-15,RETRO,,-4636.0744
9025,POL-OR-1013,GL,2025-05-01,NEW,2025-05-01,95000.0
9026,POL-OR-1013,GL,2025-06-15,RETRO,,-8163.37884
9027,POL-OR-1014,WC,2025-05-11,NEW,2025-05-11,95000.0
9028,POL-OR-1014,WC,2025-06-15,RETRO,,-12811.5014
9029,POL-OR-1015,WC,2025-05-21,NEW,2025-05-21,15000.0
9030,POL-OR-1015,WC,2025-06-15,RETRO,,2363.54676
9031,POL-OR-1016,WC,2025-05-31,NEW,2025-05-31,58000.0
9032,POL-OR-1016,WC,2025-06-15,RETRO,,10954.60444
9033,POL-OR-1017,WC,2025-06-10,NEW,2025-06-10,95000.0
9034,POL-OR-1017,WC,2025-06-15,RETRO,,-10459.93084
9035,POL-OR-1018,CA,2025-06-20,NEW,2025-06-20,95000.0
9036,POL-OR-1018,CA,2025-06-15,RETRO,,-5402.1194399999995
9037,POL-OR-1019,CA,2025-06-30,NEW,2025-06-30,32000.0
9038,POL-OR-1019,CA,2025-06-15,RETRO,,-3185.1038
9039,POL-OR-1020,WC,2025-07-10,NEW,2025-07-10,95000.0
9040,POL-OR-1020,WC,2025-06-15,RETRO,,-10357.64484
