policy_key,policy_number,inception_dt
501,POL-OR-1001,2025-01-01
502,POL-OR-1002,2025-01-11
503,POL-OR-1003,2025-01-21
504,POL-OR-1004,2025-01-31
505,POL-OR-1005,2025-02-10
506,POL-OR-1006,2025-02-20
507,POL-OR-1007,2025-03-02
508,POL-OR-1008,2025-03-12
509,POL-OR-1009,2025-03-22
510,POL-OR-1010,2025-04-01
511,POL-OR-1011,2025-04-11
512,POL-OR-1012,2025-04-21
513,POL-OR-1013,2025-05-01
514,POL-OR-1014,2025-05-11
515,POL-OR-1015,2025-05-21
516,POL-OR-1016,2025-05-31
517,POL-OR-1017,2025-06-10
518,POL-OR-1018,2025-06-20
519,POL-OR-1019,2025-06-30
520,POL-OR-1020,2025-07-10
