fact_key,policy_key,lob_key,transaction_id,accounting_date,net_written_premium_amt
90010,501,101,9001,2025-01-01,58000.0
90020,501,101,9002,2025-06-15,-1163.23
90030,502,103,9003,2025-01-11,95000.0
90040,502,103,9004,2025-06-15,-5998.5
90050,503,102,9005,2025-01-21,95000.0
90060,503,102,9006,2025-06-15,-8254.69
90070,504,102,9007,2025-01-31,32000.0
90080,504,102,9008,2025-06-15,4290.25
90090,505,101,9009,2025-02-10,58000.0
90100,505,101,9010,2025-06-15,-1566.88
90110,506,101,9011,2025-02-20,95000.0
90120,506,101,9012,2025-06-15,5411.75
90130,507,101,9013,2025-03-02,58000.0
90140,507,101,9014,2025-06-15,9510.62
90150,508,103,9015,2025-03-12,58000.0
90160,508,103,9016,2025-06-15,-6483.84
90170,509,102,9017,2025-03-22,58000.0
90180,509,102,9018,2025-06-15,-10132.25
90190,510,102,9019,2025-04-01,15000.0
90200,510,102,9020,2025-06-15,3093.79
90210,511,101,9021,2025-04-11,32000.0
90220,511,101,9022,2025-06-15,-826.67
90230,512,103,9023,2025-04-21,32000.0
90240,512,103,9024,2025-06-15,-4509.8
90250,513,103,9025,2025-05-01,95000.0
90260,513,103,9026,2025-06-15,-7941.03
90270,514,101,9027,2025-05-11,95000.0
90280,514,101,9028,2025-06-15,-12462.55
90290,515,101,9029,2025-05-21,15000.0
90300,515,101,9030,2025-06-15,2299.17
90310,516,101,9031,2025-05-31,58000.0
90320,516,101,9032,2025-06-15,10656.23
90330,517,101,9033,2025-06-10,95000.0
90340,517,101,9034,2025-06-15,-10175.03
90350,518,102,9035,2025-06-20,95000.0
90360,518,102,9036,2025-06-15,-5254.98
90370,519,102,9037,2025-06-30,32000.0
90380,519,102,9038,2025-06-15,-3098.35
90390,520,101,9039,2025-07-10,95000.0
90400,520,101,9040,2025-06-15,-10075.53
